"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0639488409272582,0.1,0.0118620801281748,0.01324786325,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0466826538768985,0.05,0.00466224101195743,0.00480769230769231,0,0.377952755905512
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0236,0,0.0358142405669787,0.0373626373653846,0,0.137795275590551
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00479616306954436,0.05,0.0055549746871383,0.00341880342307692,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0286561151079137,0.1,0.00931116180566203,0.00727650726923077,0,0.291338582677165
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0279776179056755,0.05,0.00738032520212225,0.00427350426923077,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0419664268585132,0.05,0.0152238506196238,0.00902668759615385,0,0.192913385826772
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0338928856914468,0.1,0.00696479825675115,0.004048583,0,0.299212598425197
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0127897681854516,0.1,0.01643782329839,0.0135327635384615,0,0.106299212598425
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0151878497202238,0.05,0.00675703478406559,0.00427350426923077,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0509992006394884,0.05,0.0142834634663542,0.00667189953846154,0,0.192913385826772
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0127897681854516,0.1,0.036172749721658,0.0161943319807692,0,0.0748031496062992
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.034052757793765,0.05,0.00429658910399388,0.00463286713461538,0,0.866141732283465
