sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-513452,2,3862,CA,Title & Sub-Escrow,Refinance,93000.0000000,97000.0000000,-4000.0000000,1.0000000,34.0000000,8.866666666666670,19.0000000,0.155555555555556,1.0000000,45.0000000
2301-207210,1,3860,IL,Title and Escrow,Reverse Mortgage,51510.0000000,39500.0000000,12010.0000000,2.0000000,78.0000000,31.783783783783800,23.0000000,1.243243243243240,0.0000000,37.0000000
17-513466,2,3863,CA,Title & Full Escrow,Refinance,100000.0000000,100000.0000000,0.0000000,1.0000000,76.0000000,71.055555555555600,19.0000000,1.055555555555560,0.0000000,18.0000000
17-513470,2,3863,CA,Title & Full Escrow,Refinance,100000.0000000,180200.0000000,-80200.0000000,1.0000000,65.0000000,23.131578947368400,21.0000000,0.500000000000000,0.0000000,38.0000000
17-513478,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),45000.0000000,283500.0000000,-238500.0000000,2.0000000,37.0000000,20.071428571428600,7.0000000,0.464285714285714,0.0000000,28.0000000
2301-207211,1,3863,CA,Title and Escrow,Reverse Mortgage,150000.0000000,0.0000000,150000.0000000,0.0000000,50.0000000,9.933333333333330,19.0000000,0.155555555555556,1.0000000,45.0000000
2301-207212,1,3860,MS,Title and Escrow,Reverse Mortgage,135000.0000000,0.0000000,135000.0000000,0.0000000,48.0000000,11.400000000000000,17.0000000,0.444444444444444,1.0000000,45.0000000
17-513482,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),38600.0000000,199750.0000000,-161150.0000000,1.0000000,38.0000000,18.896551724137900,4.0000000,0.413793103448276,0.0000000,29.0000000
17-513483,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.0000000,510000.0000000,-410000.0000000,1.0000000,35.0000000,11.974358974359000,6.0000000,0.205128205128205,0.0000000,39.0000000
2301-207214,1,3863,TX,Title and Escrow,Reverse Mortgage,320000.0000000,300240.0000000,19760.0000000,1.0000000,55.0000000,16.177777777777800,10.0000000,0.533333333333333,1.0000000,45.0000000
