sFileNumber,vCoverageType,vProduct,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-509776,3863,LCP - Title Only,1.00,40.00,645.00,5.00,12.00,0.00,14.00
17-509777,3862,Title & Sub-Escrow,1.00,74.00,1031.00,18.00,18.00,0.00,27.00
2301-204644,3863,Title and Escrow,0.00,130.00,2218.00,27.00,94.00,0.00,49.00
17-509778,3863,Title & Full Escrow,1.00,58.00,749.00,17.00,12.00,0.00,33.00
17-509779,3863,Title & Full Escrow,1.00,62.00,834.00,16.00,13.00,0.00,54.00
2301-204645,3863,Title and Escrow,2.00,85.00,1455.00,19.00,42.00,0.00,54.00
2301-204646,3863,Title and Escrow,1.00,68.00,1114.00,17.00,29.00,0.00,74.00
17-509781,3863,Title & Full Escrow,1.00,56.00,790.00,16.00,15.00,0.00,56.00
2301-204647,3863,Title and Escrow,0.00,64.00,1101.00,15.00,44.00,0.00,41.00
2301-204648,3863,Title and Escrow,0.00,76.00,1304.00,20.00,43.00,0.00,40.00
17-509783,3863,LCP - Title Only,1.00,39.00,649.00,4.00,10.00,0.00,66.00
17-509784,3863,Title & Sub-Escrow,2.00,56.00,968.00,21.00,19.00,0.00,53.00
17-509787,3863,LCP - Title Only,1.00,43.00,706.00,4.00,14.00,0.00,89.00
17-509788,3863,LCP - Title Only,1.00,35.00,574.00,3.00,17.00,0.00,25.00
17-509792,3863,Title & Full Escrow,1.00,70.00,882.00,27.00,17.00,0.00,45.00
2301-204650,3863,Title and Escrow,1.00,47.00,399.00,17.00,8.00,1.00,45.00
17-509794,3863,LCP - Title Only,1.00,35.00,645.00,4.00,9.00,0.00,77.00
17-509795,3863,Title & Sub-Escrow,1.00,50.00,1113.00,16.00,16.00,0.00,54.00
17-509796,3863,LCP - Title Only,1.00,38.00,652.00,4.00,7.00,0.00,63.00
2301-204653,3863,Title and Escrow,0.00,75.00,1200.00,17.00,48.00,0.00,39.00
17-509797,3863,Title Only,1.00,39.00,654.00,18.00,9.00,0.00,63.00
17-509798,3863,Title & Sub-Escrow,0.00,50.00,836.00,17.00,23.00,0.00,35.00
17-509799,3860,Title & Sub-Escrow,1.00,59.00,952.00,21.00,23.00,0.00,73.00
17-509800,3863,Title & Sub-Escrow,1.00,51.00,795.00,18.00,15.00,0.00,43.00
17-509801,3863,Title & Sub-Escrow,1.00,48.00,752.00,17.00,12.00,0.00,85.00
17-509802,3860,Title Only,1.00,56.00,985.00,21.00,26.00,0.00,73.00
2301-204655,3860,Title and Escrow,3.00,92.00,1589.00,21.00,67.00,0.00,32.00
17-509803,3863,Property Report / O&E & Full Escrow,2.00,64.00,760.00,8.00,17.00,0.00,30.00
17-509807,3860,Property Report / O&E - Title Only,2.00,41.00,601.00,6.00,18.00,0.00,23.00
17-509808,3860,Title Only,2.00,55.00,1096.00,24.00,40.00,1.00,45.00
17-509810,3860,Property Report / O&E - Title Only,1.00,38.00,523.00,3.00,9.00,0.00,57.00
17-509811,3863,LCP - Title Only,1.00,34.00,654.00,4.00,10.00,0.00,37.00
17-509813,3860,Property Report / O&E - Title Only,1.00,38.00,521.00,4.00,10.00,0.00,44.00
17-509814,3860,Property Report / O&E & Full Escrow,1.00,76.00,888.00,4.00,20.00,0.00,32.00
17-509816,3863,LCP - Title Only,0.00,33.00,535.00,5.00,11.00,0.00,43.00
17-509817,3860,Property Report / O&E - Title Only,1.00,38.00,594.00,3.00,11.00,0.00,74.00
17-509818,3862,Title Only,1.00,39.00,621.00,18.00,14.00,0.00,17.00
17-509819,3863,LCP - Title Only,1.00,34.00,608.00,4.00,9.00,0.00,37.00
17-509822,3860,Property Report / O&E - Title Only,1.00,38.00,555.00,3.00,10.00,0.00,44.00
17-509823,3860,Property Report / O&E - Title Only,1.00,38.00,521.00,6.00,12.00,0.00,42.00
17-509824,3862,Title Only,1.00,55.00,983.00,16.00,19.00,0.00,63.00
17-509827,3863,Title Only,3.00,67.00,1096.00,20.00,21.00,0.00,64.00
17-509828,3863,LCP - Title Only,1.00,36.00,645.00,4.00,10.00,0.00,74.00
17-509829,3863,LCP - Title Only,1.00,34.00,634.00,3.00,6.00,0.00,59.00
17-509830,3863,LCP - Title Only,1.00,33.00,616.00,4.00,10.00,0.00,44.00
17-509831,3863,LCP & Sub-Escrow,1.00,50.00,801.00,5.00,12.00,0.00,52.00
17-509833,3862,Reverse Mortgage - Title Only,2.00,23.00,494.00,20.00,6.00,1.00,45.00
17-509834,3862,Reverse Mortgage - Title Only,1.00,38.00,755.00,19.00,15.00,0.00,52.00
17-509836,3863,Property Report / O&E - Title Only,0.00,13.00,164.00,0.00,3.00,1.00,45.00
2301-204660,3860,Title and Escrow,1.00,75.00,1141.00,20.00,36.00,0.00,43.00
2301-204661,3863,Title and Escrow,0.00,57.00,471.00,27.00,9.00,1.00,45.00
2301-204662,3863,Title and Escrow,0.00,84.00,1243.00,26.00,36.00,0.00,29.00
17-509838,3863,Title & Sub-Escrow,1.00,87.00,1399.00,22.00,30.00,0.00,44.00
17-509839,3863,Title & Sub-Escrow,2.00,35.00,442.00,25.00,6.00,1.00,45.00
17-509841,3863,Title & Sub-Escrow,1.00,61.00,842.00,17.00,23.00,0.00,25.00
17-509842,3860,TSG - Trustee Sale Guarantee,6.00,18.00,434.00,16.00,6.00,0.00,0.00
17-509843,3863,TSG - Trustee Sale Guarantee,6.00,11.00,395.00,13.00,2.00,0.00,0.00
17-509844,3863,TSG - Trustee Sale Guarantee,0.00,12.00,361.00,0.00,6.00,1.00,45.00
17-509845,3863,LCP - Title Only,1.00,30.00,572.00,4.00,12.00,0.00,25.00
2301-204665,3863,Title and Escrow,0.00,63.00,1037.00,15.00,34.00,0.00,24.00
17-509846,3862,Title Only,1.00,35.00,631.00,19.00,14.00,0.00,37.00
17-509847,3863,LCP - Title Only,0.00,34.00,629.00,4.00,8.00,0.00,85.00
17-509848,3863,LCP - Title Only,2.00,35.00,706.00,5.00,12.00,0.00,64.00
17-509849,3863,LCP - Title Only,2.00,35.00,612.00,4.00,8.00,0.00,37.00
2301-204666,3860,Title and Escrow,1.00,73.00,1307.00,21.00,37.00,0.00,31.00
2301-204668,3860,Title and Escrow,1.00,48.00,454.00,20.00,11.00,1.00,45.00
2301-204670,3863,Title and Escrow,2.00,103.00,1486.00,21.00,51.00,0.00,58.00
2301-204671,3863,Title and Escrow,1.00,76.00,1476.00,17.00,47.00,0.00,77.00
2301-204681,3860,Title and Escrow,1.00,60.00,660.00,23.00,20.00,1.00,45.00
17-509853,3863,Title & Sub-Escrow,1.00,75.00,1033.00,17.00,26.00,0.00,50.00
2301-204682,3863,Title and Escrow,2.00,73.00,1546.00,21.00,68.00,0.00,35.00
17-509856,3863,LCP - Title Only,1.00,31.00,544.00,4.00,13.00,0.00,24.00
2301-204684,3860,Title and Escrow,1.00,83.00,1323.00,22.00,38.00,0.00,44.00
2301-204685,3863,Title and Escrow,2.00,86.00,1707.00,23.00,65.00,0.00,25.00
17-509857,3863,LCP - Title Only,0.00,20.00,212.00,0.00,2.00,1.00,45.00
2301-204686,3860,Title and Escrow,1.00,115.00,1429.00,22.00,61.00,0.00,53.00
17-509860,3863,Title Only,1.00,43.00,672.00,20.00,13.00,0.00,36.00
2301-204687,3860,Title and Escrow,1.00,50.00,554.00,23.00,13.00,1.00,45.00
2301-204688,3860,Title and Escrow,0.00,54.00,540.00,2.00,21.00,1.00,45.00
17-509864,3863,Title & Sub-Escrow,2.00,61.00,1013.00,21.00,18.00,0.00,21.00
2301-204689,3860,Title and Escrow,0.00,47.00,317.00,2.00,6.00,1.00,45.00
2301-204690,3860,Title and Escrow,4.00,65.00,1089.00,26.00,49.00,1.00,45.00
17-509866,3863,Title & Full Escrow,1.00,60.00,855.00,18.00,18.00,0.00,56.00
2301-204691,3863,Title and Escrow,0.00,81.00,1490.00,24.00,55.00,0.00,84.00
17-509868,3860,Title & Full Escrow,1.00,111.00,1585.00,21.00,49.00,0.00,78.00
17-509869,3863,Title & Full Escrow,2.00,66.00,931.00,21.00,14.00,0.00,52.00
17-509870,3863,Title & Full Escrow,0.00,41.00,252.00,1.00,4.00,1.00,45.00
2301-204694,3860,Title and Escrow,4.00,53.00,515.00,22.00,13.00,1.00,45.00
17-509872,3862,Title & Full Escrow,1.00,63.00,875.00,16.00,16.00,0.00,71.00
2301-204695,3863,Title and Escrow,0.00,84.00,1577.00,16.00,46.00,0.00,71.00
17-509873,3863,Title & Full Escrow,0.00,58.00,881.00,18.00,14.00,0.00,45.00
17-509874,3863,Title & Full Escrow,2.00,70.00,965.00,30.00,19.00,0.00,74.00
17-509876,3863,Title & Full Escrow,1.00,66.00,997.00,20.00,20.00,0.00,38.00
2301-204697,3863,Title and Escrow,1.00,69.00,1060.00,16.00,33.00,0.00,32.00
2301-204698,3863,Title and Escrow,0.00,69.00,1068.00,16.00,37.00,0.00,72.00
17-509880,3863,Title Only,2.00,42.00,768.00,19.00,16.00,0.00,53.00
2301-204699,3860,Title and Escrow,2.00,53.00,499.00,22.00,15.00,1.00,45.00
17-509883,3862,Title & Sub-Escrow,1.00,63.00,868.00,16.00,24.00,0.00,51.00
17-509884,3860,Title & Full Escrow,2.00,85.00,1311.00,24.00,30.00,0.00,51.00
2301-204701,3860,Title and Escrow,1.00,97.00,1495.00,17.00,49.00,0.00,22.00
2301-204702,3860,Title and Escrow,0.00,78.00,1111.00,19.00,35.00,0.00,57.00
2301-204703,3863,Title and Escrow,2.00,91.00,1860.00,28.00,79.00,0.00,58.00
2301-204704,3860,Title and Escrow,1.00,47.00,620.00,21.00,14.00,1.00,45.00
2301-204705,3863,Title and Escrow,4.00,72.00,1354.00,20.00,35.00,0.00,46.00
17-509888,3860,Title & Full Escrow,1.00,68.00,975.00,21.00,19.00,0.00,37.00
17-509889,3863,Title & Full Escrow,1.00,74.00,961.00,16.00,18.00,0.00,21.00
2301-204706,3860,Title and Escrow,0.00,94.00,2042.00,24.00,85.00,0.00,87.00
17-509890,3863,Title & Full Escrow,1.00,59.00,761.00,16.00,12.00,0.00,42.00
17-509892,3863,Title & Full Escrow,1.00,57.00,717.00,16.00,12.00,0.00,32.00
17-509895,3862,LCP & Sub-Escrow,1.00,41.00,619.00,4.00,18.00,0.00,22.00
17-509896,3860,Title & Full Escrow,1.00,69.00,1101.00,17.00,19.00,0.00,46.00
17-509898,3860,Property Report / O&E - Title Only,1.00,37.00,518.00,4.00,8.00,0.00,85.00
2301-204707,3860,Title and Escrow,0.00,73.00,1143.00,17.00,46.00,0.00,93.00
17-509899,3863,Title Only,1.00,43.00,730.00,18.00,18.00,0.00,64.00
2301-204708,3863,Title and Escrow,1.00,74.00,1219.00,17.00,49.00,0.00,36.00
17-509900,3860,TSG - Trustee Sale Guarantee,2.00,18.00,443.00,13.00,7.00,0.00,0.00
2301-204711,3860,Title and Escrow,0.00,81.00,1089.00,17.00,37.00,0.00,34.00
2301-204712,3863,Title and Escrow,1.00,81.00,1187.00,28.00,41.00,0.00,16.00
2301-204713,3863,Title and Escrow,1.00,78.00,1386.00,28.00,37.00,0.00,27.00
2301-204714,3860,Title and Escrow,0.00,45.00,302.00,1.00,5.00,1.00,45.00
17-509901,3863,Title & Sub-Escrow,1.00,55.00,825.00,18.00,17.00,0.00,21.00
2301-204715,3860,Title and Escrow,8.00,53.00,623.00,29.00,21.00,1.00,45.00
17-509904,3862,Reverse Mortgage - Title Only,0.00,46.00,736.00,17.00,18.00,0.00,63.00
17-509905,3863,Title & Sub-Escrow,1.00,64.00,1157.00,22.00,26.00,0.00,85.00
17-509906,3863,LCP - Title Only,1.00,34.00,611.00,4.00,9.00,0.00,52.00
2301-204716,3860,Title and Escrow,4.00,53.00,528.00,23.00,15.00,1.00,45.00
2301-204718,3863,Title and Escrow,1.00,47.00,440.00,16.00,8.00,1.00,45.00
17-509909,3863,Title & Sub-Escrow,1.00,59.00,989.00,18.00,18.00,0.00,66.00
2301-204719,29189,Title and Escrow,0.00,42.00,327.00,1.00,4.00,1.00,45.00
2301-204721,3860,Title and Escrow,2.00,85.00,1551.00,21.00,75.00,0.00,41.00
2301-204722,3863,Title and Escrow,0.00,57.00,488.00,23.00,13.00,1.00,45.00
17-509911,3863,LCP & Sub-Escrow,2.00,49.00,952.00,6.00,25.00,0.00,72.00
2301-204723,3863,Title and Escrow,1.00,51.00,588.00,20.00,17.00,1.00,45.00
2301-204724,3860,Title and Escrow,2.00,51.00,574.00,21.00,15.00,1.00,45.00
2301-204725,3860,Title and Escrow,1.00,79.00,1116.00,21.00,34.00,0.00,38.00
2301-204726,3860,Title and Escrow,2.00,75.00,1443.00,21.00,51.00,0.00,71.00
2301-204727,3860,Title and Escrow,1.00,74.00,1784.00,4.00,56.00,0.00,69.00
2301-204728,3863,Title and Escrow,2.00,74.00,1545.00,17.00,59.00,0.00,71.00
17-509912,3860,Title & Sub-Escrow,1.00,58.00,858.00,21.00,17.00,0.00,31.00
17-509913,3860,Title & Sub-Escrow,1.00,58.00,894.00,21.00,18.00,0.00,44.00
17-509914,3863,Property Report / O&E - Title Only,1.00,27.00,397.00,6.00,7.00,0.00,22.00
2301-204729,3860,Title and Escrow,0.00,89.00,1452.00,18.00,64.00,0.00,44.00
17-509916,3863,LCP - Title Only,1.00,35.00,635.00,4.00,10.00,0.00,69.00
17-509917,3863,Title Only,2.00,40.00,755.00,17.00,12.00,0.00,43.00
17-509918,3863,Title Only,1.00,47.00,884.00,18.00,12.00,0.00,58.00
17-509919,3862,Title & Sub-Escrow,1.00,65.00,1034.00,18.00,33.00,0.00,45.00
2301-204730,3860,Title and Escrow,1.00,51.00,489.00,19.00,12.00,1.00,45.00
2301-204731,3860,Title and Escrow,0.00,51.00,435.00,18.00,9.00,1.00,45.00
2301-204732,3863,Title and Escrow,2.00,65.00,1192.00,20.00,46.00,0.00,30.00
2301-204733,3860,Title and Escrow,0.00,64.00,646.00,21.00,22.00,1.00,45.00
2301-204734,3860,Title and Escrow,0.00,89.00,1118.00,20.00,34.00,0.00,49.00
17-509921,3862,Title & Full Escrow,2.00,62.00,1014.00,20.00,23.00,0.00,35.00
17-509922,3863,Reverse Mortgage - Title Only,0.00,50.00,796.00,15.00,19.00,0.00,62.00
17-509923,3860,Title & Full Escrow,2.00,104.00,1370.00,23.00,25.00,0.00,29.00
2301-204737,3863,Title and Escrow,1.00,83.00,1185.00,27.00,40.00,0.00,16.00
2301-204740,3863,Title and Escrow,1.00,78.00,1545.00,18.00,44.00,0.00,62.00
2301-204742,3863,Title and Escrow,1.00,75.00,1544.00,20.00,41.00,0.00,55.00
2301-204743,3860,Title and Escrow,0.00,60.00,473.00,2.00,21.00,1.00,45.00
17-509925,3860,Title & Sub-Escrow,1.00,95.00,1306.00,23.00,40.00,0.00,41.00
2301-204744,3863,Title and Escrow,0.00,73.00,1235.00,18.00,30.00,1.00,45.00
2301-204745,3863,Title and Escrow,0.00,86.00,1618.00,20.00,41.00,0.00,31.00
17-509926,3863,Title Only,1.00,63.00,1423.00,17.00,32.00,0.00,38.00
2301-204746,3863,Title and Escrow,1.00,89.00,1456.00,16.00,42.00,0.00,45.00
2301-204747,3863,Title and Escrow,0.00,78.00,1633.00,21.00,38.00,0.00,57.00
2301-204748,3863,Title and Escrow,0.00,76.00,1501.00,20.00,35.00,0.00,55.00
2301-204750,3863,Title and Escrow,1.00,61.00,1098.00,16.00,23.00,0.00,34.00
2301-204751,3860,Title and Escrow,1.00,86.00,1523.00,21.00,55.00,0.00,59.00
2301-204752,3863,Title and Escrow,1.00,93.00,1409.00,18.00,49.00,0.00,36.00
2301-204753,3863,Title and Escrow,0.00,80.00,1292.00,25.00,39.00,0.00,28.00
2301-204756,3863,Title and Escrow,1.00,76.00,1125.00,16.00,41.00,0.00,58.00
17-509928,3863,Property Report / O&E - Title Only,1.00,33.00,508.00,6.00,8.00,0.00,65.00
2301-204757,3863,Title and Escrow,1.00,47.00,509.00,19.00,12.00,1.00,45.00
17-509930,3860,Title & Full Escrow,1.00,63.00,810.00,20.00,14.00,0.00,55.00
17-509932,3863,Title & Full Escrow,1.00,66.00,867.00,18.00,16.00,0.00,51.00
17-509935,3863,Title & Full Escrow,1.00,67.00,937.00,26.00,18.00,0.00,86.00
2301-204758,3863,Title and Escrow,0.00,96.00,1459.00,15.00,59.00,0.00,62.00
2301-204759,3863,Title and Escrow,0.00,71.00,1237.00,16.00,47.00,0.00,13.00
2301-204760,3860,Title and Escrow,0.00,98.00,2082.00,20.00,89.00,0.00,36.00
2301-204761,3863,Title and Escrow,1.00,68.00,1286.00,17.00,44.00,0.00,50.00
2301-204762,3863,Title and Escrow,1.00,84.00,1389.00,18.00,57.00,0.00,44.00
2301-204763,3863,Title and Escrow,1.00,46.00,442.00,20.00,8.00,1.00,45.00
17-509937,3862,Title & Full Escrow,1.00,46.00,384.00,19.00,7.00,1.00,45.00
2301-204766,3860,Title and Escrow,1.00,73.00,1086.00,18.00,33.00,0.00,41.00
17-509938,3863,LCP - Title Only,1.00,36.00,699.00,4.00,12.00,0.00,28.00
17-509939,3863,Title & Full Escrow,1.00,40.00,346.00,16.00,6.00,1.00,45.00
17-509941,3863,Title Only,1.00,36.00,562.00,18.00,13.00,0.00,29.00
2301-204767,3863,Title and Escrow,1.00,66.00,1191.00,16.00,54.00,0.00,35.00
2301-204768,3863,Title and Escrow,1.00,77.00,1267.00,15.00,39.00,0.00,36.00
2301-204770,3863,Title and Escrow,1.00,71.00,1089.00,18.00,35.00,0.00,29.00
2301-204771,3863,Title and Escrow,1.00,66.00,1127.00,17.00,32.00,0.00,49.00
2301-204773,3860,Title and Escrow,0.00,84.00,1356.00,18.00,55.00,0.00,43.00
2301-204775,3860,Title and Escrow,1.00,53.00,531.00,12.00,8.00,1.00,45.00
17-509942,3863,Title Only,2.00,50.00,804.00,19.00,18.00,0.00,57.00
2301-204776,3860,Title and Escrow,1.00,116.00,1737.00,23.00,66.00,0.00,93.00
17-509944,3863,Title & Full Escrow,0.00,77.00,1031.00,15.00,22.00,0.00,64.00
2301-204778,3863,Title and Escrow,1.00,92.00,1491.00,19.00,45.00,0.00,42.00
17-509948,3863,Title Only,1.00,64.00,880.00,18.00,19.00,0.00,86.00
2301-204780,3863,Title and Escrow,0.00,40.00,269.00,1.00,3.00,1.00,45.00
2301-204782,3863,Title and Escrow,0.00,94.00,1234.00,16.00,32.00,0.00,66.00
2301-204783,3863,Title and Escrow,2.00,68.00,1507.00,8.00,42.00,0.00,86.00
2301-204784,3860,Title and Escrow,0.00,47.00,232.00,2.00,5.00,1.00,45.00
17-509949,3860,Property Report / O&E - Title Only,1.00,38.00,554.00,4.00,13.00,0.00,30.00
17-509955,3860,TSG - Trustee Sale Guarantee,5.00,18.00,463.00,15.00,8.00,0.00,0.00
17-509957,3860,TSG - Trustee Sale Guarantee,2.00,18.00,417.00,13.00,7.00,0.00,0.00
17-509958,3860,TSG - Trustee Sale Guarantee,9.00,21.00,494.00,21.00,7.00,0.00,0.00
17-509959,3860,TSG - Trustee Sale Guarantee,5.00,18.00,494.00,24.00,6.00,0.00,0.00
17-509961,3862,Title & Sub-Escrow,2.00,63.00,1040.00,19.00,27.00,0.00,82.00
17-509962,3863,Title & Sub-Escrow,1.00,54.00,801.00,16.00,17.00,0.00,15.00
2301-204787,3860,Title and Escrow,1.00,49.00,493.00,19.00,9.00,1.00,45.00
17-509963,3860,TSG - Trustee Sale Guarantee,1.00,12.00,422.00,6.00,5.00,0.00,0.00
17-509964,3863,TSG - Trustee Sale Guarantee,3.00,15.00,440.00,10.00,6.00,0.00,0.00
17-509965,3862,Title & Sub-Escrow,1.00,68.00,1042.00,19.00,26.00,0.00,34.00
17-509966,3862,Title & Sub-Escrow,1.00,64.00,920.00,19.00,26.00,0.00,42.00
2301-204788,3860,Title and Escrow,2.00,71.00,755.00,22.00,26.00,1.00,45.00
2301-204789,3863,Title and Escrow,1.00,66.00,1064.00,15.00,24.00,0.00,61.00
17-509968,3863,LCP - Title Only,1.00,40.00,652.00,4.00,12.00,0.00,56.00
2301-204790,3863,Title and Escrow,1.00,86.00,1326.00,27.00,44.00,0.00,33.00
2301-204791,3860,Title and Escrow,0.00,47.00,307.00,1.00,5.00,1.00,45.00
2301-204793,3863,Title and Escrow,1.00,65.00,1318.00,18.00,39.00,0.00,41.00
2301-204794,3863,Title and Escrow,1.00,72.00,1473.00,20.00,39.00,0.00,34.00
2301-204795,3863,Title and Escrow,0.00,70.00,1501.00,17.00,47.00,0.00,37.00
2301-204796,3863,Title and Escrow,2.00,55.00,579.00,19.00,15.00,1.00,45.00
2301-204798,3860,Title and Escrow,0.00,90.00,1415.00,21.00,59.00,0.00,86.00
17-509970,3863,Title & Sub-Escrow,2.00,50.00,785.00,19.00,17.00,0.00,48.00
2301-204799,3860,Title and Escrow,0.00,62.00,945.00,17.00,21.00,1.00,45.00
2301-204800,3860,Title and Escrow,1.00,105.00,1558.00,19.00,57.00,0.00,28.00
2301-204802,3863,Title and Escrow,0.00,75.00,1609.00,18.00,37.00,0.00,44.00
2301-204804,3860,Title and Escrow,1.00,48.00,462.00,19.00,9.00,1.00,45.00
2301-204806,29189,Title and Escrow,0.00,47.00,393.00,1.00,17.00,1.00,45.00
2301-204807,3863,Title and Escrow,1.00,64.00,1170.00,17.00,29.00,0.00,28.00
17-509972,3863,LCP - Title Only,0.00,39.00,655.00,4.00,8.00,0.00,57.00
17-509973,3863,LCP - Title Only,1.00,39.00,595.00,3.00,8.00,0.00,41.00
17-509974,3862,Title & Full Escrow,1.00,58.00,785.00,16.00,14.00,0.00,40.00
17-509976,3863,Title Only,1.00,76.00,1292.00,17.00,24.00,0.00,57.00
17-509978,3863,Title Only,0.00,39.00,573.00,14.00,12.00,0.00,26.00
17-509979,3863,Title Only,0.00,19.00,231.00,2.00,2.00,1.00,45.00
17-509980,3863,Title & Full Escrow,1.00,42.00,399.00,18.00,8.00,1.00,45.00
17-509982,3863,Title & Sub-Escrow,1.00,72.00,931.00,17.00,23.00,0.00,55.00
17-509986,3863,LCP - Title Only,1.00,34.00,628.00,4.00,8.00,0.00,72.00
17-509988,3863,Title Only,1.00,51.00,752.00,16.00,19.00,0.00,37.00
2301-204811,3863,Title and Escrow,1.00,72.00,1287.00,17.00,43.00,0.00,40.00
2301-204812,3860,Title and Escrow,1.00,90.00,1534.00,10.00,40.00,0.00,26.00
17-509990,3860,Title & Full Escrow,1.00,70.00,1099.00,11.00,23.00,0.00,70.00
17-509991,3862,LCP - Title Only,1.00,40.00,692.00,4.00,17.00,0.00,14.00
17-509993,3862,Title & Full Escrow,0.00,83.00,1133.00,18.00,25.00,0.00,20.00
17-509994,3860,Reverse Mortgage - Title & Sub-Escrow,0.00,99.00,1351.00,22.00,42.00,0.00,43.00
17-509995,3863,Title & Full Escrow,1.00,58.00,850.00,16.00,18.00,0.00,37.00
17-509996,3863,LCP - Title Only,1.00,36.00,643.00,4.00,13.00,0.00,36.00
17-509999,3863,Title & Full Escrow,1.00,77.00,1011.00,30.00,18.00,0.00,55.00
17-510001,3863,Title & Full Escrow,1.00,63.00,809.00,16.00,14.00,0.00,30.00
17-510002,3863,Title & Full Escrow,1.00,63.00,862.00,27.00,13.00,0.00,43.00
17-510005,3863,Title & Full Escrow,1.00,83.00,1363.00,18.00,38.00,0.00,37.00
17-510006,3863,Title & Full Escrow,1.00,88.00,1392.00,18.00,40.00,0.00,36.00
17-510007,3863,Title & Full Escrow,1.00,64.00,1002.00,28.00,18.00,0.00,56.00
2301-204815,3860,Title and Escrow,1.00,80.00,1211.00,19.00,46.00,0.00,29.00
17-510008,3863,Title & Sub-Escrow,1.00,65.00,1037.00,20.00,27.00,0.00,42.00
2301-204816,3860,Title and Escrow,0.00,52.00,455.00,18.00,9.00,1.00,45.00
2301-204818,3863,Title and Escrow,1.00,66.00,1068.00,16.00,22.00,0.00,44.00
17-510011,3860,Title Only,1.00,68.00,1153.00,24.00,27.00,0.00,78.00
2301-204819,3860,Title and Escrow,2.00,73.00,1681.00,8.00,40.00,0.00,68.00
17-510013,3863,Stand Alone Modification,0.00,11.00,206.00,0.00,5.00,1.00,45.00
2301-204821,3860,Title and Escrow,0.00,104.00,1722.00,22.00,62.00,0.00,56.00
2301-204822,3860,Title and Escrow,2.00,86.00,1385.00,19.00,49.00,0.00,50.00
2301-204823,3863,Title and Escrow,2.00,79.00,1393.00,23.00,54.00,0.00,28.00
2301-204824,3860,Title and Escrow,0.00,49.00,441.00,22.00,13.00,1.00,45.00
2301-204825,3860,Title and Escrow,0.00,93.00,1531.00,18.00,62.00,0.00,44.00
2301-204826,3860,Title and Escrow,3.00,55.00,684.00,20.00,26.00,1.00,45.00
2301-204830,3863,Title and Escrow,1.00,54.00,592.00,19.00,16.00,1.00,45.00
2301-204831,3863,Title and Escrow,5.00,83.00,1872.00,21.00,93.00,0.00,40.00
2301-204832,3863,Title and Escrow,1.00,76.00,1247.00,20.00,49.00,0.00,42.00
2301-204833,3863,Title and Escrow,1.00,67.00,1323.00,17.00,48.00,0.00,48.00
2301-204835,3863,HECM for Purchase,0.00,60.00,272.00,4.00,3.00,1.00,45.00
2301-204836,3863,HECM for Purchase,0.00,52.00,237.00,4.00,3.00,1.00,45.00
2301-204837,3860,Title and Escrow,2.00,58.00,798.00,24.00,32.00,1.00,45.00
17-510015,3862,Title & Full Escrow,2.00,71.00,1136.00,17.00,27.00,0.00,90.00
17-510016,3862,Title & Sub-Escrow,1.00,59.00,1066.00,21.00,32.00,0.00,36.00
17-510017,3863,Title & Full Escrow,2.00,58.00,983.00,20.00,12.00,0.00,44.00
17-510018,3863,Title Only,1.00,40.00,833.00,16.00,14.00,0.00,58.00
17-510020,3863,Title & Sub-Escrow,0.00,76.00,1209.00,19.00,30.00,0.00,29.00
17-510021,3863,LCP - Title Only,0.00,35.00,545.00,6.00,13.00,0.00,28.00
2301-204840,3860,Title and Escrow,1.00,76.00,1101.00,21.00,34.00,0.00,61.00
2301-204841,3860,Title and Escrow,4.00,53.00,619.00,22.00,22.00,1.00,45.00
17-510022,3863,LCP & Sub-Escrow,2.00,56.00,897.00,6.00,27.00,0.00,37.00
2301-204843,3863,Title and Escrow,1.00,71.00,1331.00,18.00,57.00,0.00,62.00
2301-204845,3863,Title and Escrow,1.00,67.00,1122.00,17.00,54.00,0.00,27.00
17-510024,3863,LCP & Sub-Escrow,2.00,49.00,771.00,6.00,19.00,0.00,55.00
17-510025,3863,LCP - Title Only,1.00,45.00,797.00,3.00,13.00,0.00,58.00
17-510026,3863,Property Report / O&E - Title Only,1.00,27.00,453.00,4.00,8.00,0.00,15.00
17-510027,3863,Title & Full Escrow,0.00,63.00,880.00,15.00,12.00,0.00,71.00
2301-204846,3863,Title and Escrow,0.00,89.00,1758.00,17.00,97.00,0.00,44.00
2301-204847,3863,Title and Escrow,1.00,87.00,1504.00,22.00,53.00,0.00,42.00
17-510031,3860,Title Only,1.00,48.00,652.00,21.00,15.00,0.00,42.00
17-510032,3860,Title & Sub-Escrow,2.00,78.00,1138.00,24.00,28.00,0.00,43.00
17-510034,3863,Property Report / O&E - Title Only,1.00,27.00,404.00,6.00,7.00,0.00,20.00
17-510035,3860,TSG - Trustee Sale Guarantee,9.00,23.00,570.00,20.00,12.00,0.00,0.00
17-510036,3860,TSG - Trustee Sale Guarantee,3.00,18.00,463.00,15.00,8.00,0.00,0.00
17-510037,3860,TSG - Trustee Sale Guarantee,1.00,23.00,498.00,14.00,11.00,0.00,0.00
17-510038,3860,TSG - Trustee Sale Guarantee,3.00,23.00,561.00,16.00,10.00,0.00,0.00
2301-204849,3860,Title and Escrow,0.00,75.00,1073.00,19.00,36.00,0.00,33.00
17-510039,3863,Title Only,1.00,37.00,557.00,17.00,14.00,0.00,70.00
