sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-501443,3863,Refinance,25000.0,1.0,46.0,20.43750000000000,0.53125000000000,0.0,32.0
17-501444,3860,Uninsured (Info Products),25000.0,1.0,42.0,12.72093023255810,0.37209302325581,0.0,43.0
17-501445,3863,Uninsured (Info Products),75000.0,1.0,27.0,1.70949720670391,0.02234636871508,0.0,179.0
17-501446,3860,Uninsured (Info Products),50000.0,1.0,42.0,11.97959183673470,0.36734693877551,0.0,49.0
17-501447,3863,Refinance,40000.0,0.0,64.0,12.44047619047620,0.26190476190476,0.0,84.0
17-501448,3860,Uninsured (Info Products),69300.0,2.0,43.0,16.62857142857140,0.42857142857143,0.0,35.0
17-501449,3863,Uninsured (Info Products),100000.0,1.0,40.0,27.52380952380950,0.57142857142857,0.0,21.0
17-501450,3860,Uninsured (Info Products),90000.0,2.0,39.0,13.18604651162790,0.37209302325581,0.0,43.0
17-501451,3860,Uninsured (Info Products),70900.0,1.0,51.0,15.00000000000000,0.40000000000000,0.0,45.0
17-501452,3860,Uninsured (Info Products),35000.0,1.0,78.0,23.44444444444440,0.55555555555556,0.0,45.0
17-501453,3860,Uninsured (Info Products),40000.0,1.0,26.0,1.78770949720670,0.02234636871508,0.0,179.0
17-501454,3860,Uninsured (Info Products),244500.0,1.0,42.0,23.79166666666670,0.50000000000000,0.0,24.0
2301-200716,3863,Reverse Mortgage,42500.0,1.0,78.0,22.63636363636360,0.58181818181818,0.0,55.0
17-501455,3863,Refinance,97000.0,1.0,34.0,8.46666666666667,0.08888888888889,1.0,45.0
17-501456,3860,Refinance,102000.0,0.0,25.0,5.82222222222222,0.13333333333333,1.0,45.0
17-501457,3863,Refinance,251500.0,1.0,91.0,22.00000000000000,0.82352941176471,0.0,51.0
17-501459,3860,Refinance,50873.0,2.0,65.0,25.50980392156860,0.96078431372549,0.0,51.0
2301-200717,3860,Reverse Mortgage,404073.0,3.0,108.0,48.10810810810810,1.64864864864865,0.0,37.0
2301-200718,3860,Reverse Mortgage,220000.0,0.0,43.0,5.33333333333333,0.08888888888889,1.0,45.0
2301-200719,3860,Reverse Mortgage,350000.0,2.0,52.0,12.64444444444440,0.26666666666667,1.0,45.0
17-501460,3863,Refinance,55000.0,1.0,35.0,9.37777777777778,0.11111111111111,1.0,45.0
