sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-511908,In-House without XML,Refinance,253085.00,1.00,47.00,29.125,0.541666667,0.00,24.00
2301-202766,In-House with Abstractor,Reverse Mortgage,225000.00,2.00,44.00,10.04444444,0.222222222,1.00,45.00
17-511822,In-House with Abstractor,Uninsured (Info Products),30000.00,1.00,37.00,18.13793103,0.275862069,0.00,29.00
17-501752,In-House with Abstractor,Uninsured (Info Products),166500.00,1.00,46.00,19.5862069,0.482758621,0.00,29.00
17-511489,In-House without XML,Refinance,74000.00,1.00,34.00,14.97435897,0.179487179,0.00,39.00
17-508757,In-House with Abstractor,Uninsured (Info Products),20000.00,1.00,39.00,12.85,0.25,0.00,40.00
17-511824,In-House without XML,Refinance,100000.00,2.00,54.00,30.02857143,0.514285714,0.00,35.00
17-509894,In-House without XML,Refinance,50000.00,1.00,22.00,7.666666667,0.044444444,1.00,45.00
17-509995,In-House without XML,Refinance,157250.00,1.00,58.00,22.97297297,0.486486486,0.00,37.00
2301-207048,In-House without XML,Reverse Mortgage,58068.28,0.00,65.00,39.07142857,0.571428571,0.00,28.00
2301-204794,In-House without XML,Reverse Mortgage,119238.00,1.00,72.00,43.32352941,1.147058824,0.00,34.00
17-510841,In-House without XML,Refinance,160001.00,1.00,43.00,7.685393258,0.202247191,0.00,89.00
17-505787,In-House without XML,Refinance,302404.00,1.00,68.00,41.34482759,0.965517241,0.00,29.00
17-512163,In-House without XML,Refinance,138000.00,1.00,39.00,16.7804878,0.170731707,0.00,41.00
17-512993,In-House with Abstractor,Uninsured (Info Products),55250.00,1.00,37.00,10.03773585,0.169811321,0.00,53.00
17-507134,In-House without XML,Refinance,146300.00,0.00,53.00,24.91891892,0.540540541,0.00,37.00
17-507221,In-House with Abstractor,Refinance,87026.00,1.00,47.00,24.43333333,0.6,0.00,30.00
17-504843,In-House with Abstractor,Refinance,122000.00,1.00,71.00,34.29032258,0.709677419,0.00,31.00
17-508588,In-House without XML,Refinance,672000.00,1.00,50.00,23.53333333,0.433333333,0.00,30.00
2301-202383,In-House with Abstractor,Reverse Mortgage,55836.00,1.00,65.00,26.5,0.684210526,0.00,38.00
17-509829,In-House without XML,Refinance,43088.00,1.00,34.00,10.74576271,0.101694915,0.00,59.00
17-509432,In-House without XML,Refinance,174000.00,0.00,37.00,4.622222222,0.022222222,1.00,45.00
17-507851,In-House with XML,Refinance,365000.00,2.00,45.00,20.6969697,0.393939394,0.00,33.00
17-504890,In-House without XML,Refinance,25000.00,1.00,34.00,28.04545455,0.545454545,0.00,22.00
17-504160,In-House without XML,TSG,634278.40,2.00,24.00,13.69047619,0.214285714,0.00,42.00
17-511386,In-House without XML,Refinance,30000.00,1.00,35.00,14.43902439,0.170731707,0.00,41.00
17-502726,In-House without XML,Refinance,93750.00,1.00,62.00,37.19444444,0.777777778,0.00,36.00
17-503919,In-House without XML,Refinance,120000.00,0.00,47.00,33.2962963,0.851851852,0.00,27.00
2301-206599,In-House with Abstractor,Reverse Mortgage,60480.00,0.00,88.00,67.72,2.24,0.00,25.00
2301-200490,In-House without XML,Reverse Mortgage,6469.25,0.00,86.00,46.22580645,1.419354839,0.00,31.00
2301-204202,In-House without XML,Reverse Mortgage,550000.00,2.00,69.00,22.44444444,0.6,1.00,45.00
17-501355,In-House without XML,Refinance,75000.00,1.00,33.00,8.644444444,0.088888889,1.00,45.00
17-504187,In-House without XML,Refinance,100001.00,1.00,57.00,41.77272727,1.045454545,0.00,22.00
17-506860,In-House without XML,Uninsured (Info Products),41000.00,1.00,35.00,9.7,0.166666667,0.00,60.00
2301-205745,In-House without XML,Reverse Mortgage,109794.00,1.00,77.00,16.27631579,0.592105263,0.00,76.00
17-507856,In-House without XML,Refinance,465000.00,1.00,62.00,26.94,0.66,1.00,50.00
17-507811,In-House without XML,Refinance,80000.00,1.00,37.00,14.05357143,0.410714286,0.00,56.00
17-504383,In-House with Abstractor,Refinance,105000.00,1.00,48.00,16.47540984,0.426229508,0.00,61.00
17-514997,In-House with Abstractor,Refinance,237840.00,1.00,55.00,24.87878788,0.515151515,0.00,33.00
2301-203663,In-House without XML,Reverse Mortgage,431595.00,1.00,85.00,16.12941176,0.505882353,0.00,85.00
17-501841,In-House without XML,Refinance,74594.00,1.00,70.00,12.80519481,0.350649351,0.00,77.00
2301-204506,In-House without XML,Reverse Mortgage,228330.00,0.00,76.00,36.44117647,1.147058824,0.00,34.00
2301-201322,In-House with Abstractor,Reverse Mortgage,225000.00,2.00,48.00,11.17777778,0.155555556,1.00,45.00
2301-203264,In-House without XML,Reverse Mortgage,55100.00,2.00,69.00,43.40625,1.5,0.00,32.00
17-508471,In-House without XML,Refinance,224000.00,1.00,22.00,7.355555556,0.066666667,1.00,45.00
17-511079,In-House without XML,Uninsured (Info Products),69000.00,2.00,32.00,17,0.272727273,0.00,33.00
