nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
0.00,583.00,10.00,1.00,45.00
0.00,1396.00,40.00,1.00,45.00
1.00,1359.00,44.00,0.00,25.00
2.00,1035.00,29.00,0.00,50.00
1.00,788.00,14.00,0.00,43.00
1.00,409.00,5.00,1.00,45.00
1.00,650.00,8.00,0.00,52.00
1.00,449.00,7.00,1.00,45.00
1.00,1127.00,41.00,1.00,45.00
1.00,706.00,21.00,0.00,48.00
2.00,763.00,25.00,0.00,37.00
2.00,397.00,4.00,1.00,45.00
1.00,1240.00,38.00,0.00,97.00
0.00,302.00,6.00,1.00,45.00
2.00,1780.00,53.00,0.00,63.00
2.00,1052.00,38.00,0.00,120.00
1.00,794.00,21.00,0.00,31.00
0.00,1466.00,48.00,0.00,30.00
1.00,535.00,10.00,0.00,23.00
0.00,1449.00,38.00,0.00,28.00
0.00,1130.00,32.00,0.00,42.00
1.00,484.00,6.00,1.00,45.00
1.00,545.00,8.00,1.00,45.00
1.00,434.00,7.00,1.00,45.00
1.00,983.00,19.00,0.00,231.00
1.00,911.00,37.00,0.00,57.00
1.00,1251.00,20.00,0.00,36.00
3.00,831.00,18.00,1.00,45.00
1.00,700.00,9.00,0.00,29.00
1.00,1132.00,36.00,0.00,43.00
1.00,934.00,21.00,0.00,42.00
1.00,591.00,16.00,1.00,45.00
1.00,445.00,7.00,1.00,45.00
2.00,454.00,4.00,1.00,45.00
1.00,675.00,8.00,0.00,51.00
1.00,1698.00,51.00,0.00,27.00
0.00,1727.00,40.00,0.00,31.00
1.00,396.00,7.00,1.00,45.00
1.00,698.00,10.00,0.00,77.00
0.00,312.00,5.00,1.00,45.00
1.00,1343.00,29.00,0.00,41.00
1.00,1284.00,44.00,0.00,114.00
2.00,1429.00,44.00,0.00,30.00
