sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-205717,3863,Title and Escrow,625500.00,0.00,625500.00,0.00,40.00,283.00,1.00,4.00,1.00,45.00
17-511318,3863,Title & Sub-Escrow,370000.00,367500.00,2500.00,1.00,52.00,833.00,17.00,15.00,0.00,42.00
17-511319,3863,LCP - Title Only,53000.00,50000.00,3000.00,1.00,38.00,663.00,4.00,12.00,0.00,30.00
17-511322,3863,Title & Sub-Escrow,395000.00,436300.00,-41300.00,1.00,66.00,982.00,18.00,23.00,0.00,35.00
2301-205721,3860,Title and Escrow,249000.00,0.00,249000.00,0.00,81.00,1200.00,17.00,34.00,0.00,37.00
17-511324,3863,LCP - Title Only,80000.00,0.00,80000.00,0.00,35.00,651.00,4.00,8.00,0.00,40.00
17-511326,3863,LCP - Title Only,60000.00,344000.00,-284000.00,1.00,35.00,611.00,4.00,8.00,0.00,44.00
17-511327,3863,LCP - Title Only,40000.00,198400.00,-158400.00,1.00,35.00,606.00,4.00,8.00,0.00,35.00
17-511331,3863,Title Only,226500.00,281000.00,-54500.00,1.00,44.00,788.00,23.00,23.00,0.00,61.00
17-511332,3862,Title & Full Escrow,203500.00,212044.00,-8544.00,1.00,57.00,811.00,16.00,16.00,0.00,40.00
17-511333,3863,Title Only,96480.00,97042.00,-562.00,1.00,39.00,622.00,17.00,10.00,0.00,37.00
2301-205724,3860,Title and Escrow,245390.00,80000.00,165390.00,1.00,82.00,1217.00,19.00,36.00,0.00,40.00
17-511336,3860,Title & Full Escrow,160175.00,146150.00,14025.00,1.00,62.00,804.00,20.00,13.00,0.00,27.00
17-511337,3862,Title Only,130000.00,560000.00,-430000.00,1.00,42.00,671.00,20.00,19.00,0.00,44.00
17-511338,3860,Title & Full Escrow,73507.00,80280.00,-6773.00,1.00,76.00,1085.00,22.00,27.00,0.00,62.00
17-511339,3863,Title Only,80000.00,109000.00,-29000.00,1.00,69.00,1022.00,16.00,15.00,0.00,54.00
17-511340,3863,LCP & Sub-Escrow,17500.00,92427.00,-74927.00,2.00,53.00,791.00,5.00,14.00,0.00,42.00
2301-205725,3860,Title and Escrow,136840.00,108483.04,28356.96,1.00,84.00,1490.00,20.00,58.00,0.00,40.00
2301-205726,3860,Title and Escrow,60696.00,0.00,60696.00,0.00,93.00,1182.00,20.00,38.00,0.00,70.00
2301-205727,3863,Title and Escrow,284820.00,238000.00,46820.00,2.00,88.00,1813.00,20.00,67.00,0.00,62.00
17-511341,3863,Title & Full Escrow,120000.00,120180.16,-180.16,2.00,60.00,1260.00,17.00,24.00,0.00,42.00
17-511342,3860,Title Only,160624.00,174029.00,-13405.00,2.00,44.00,891.00,22.00,26.00,0.00,36.00
2301-205728,3860,Title and Escrow,156475.00,134747.00,21728.00,2.00,81.00,1350.00,24.00,51.00,0.00,63.00
2301-205729,3863,Title and Escrow,243207.00,65750.00,177457.00,1.00,67.00,1116.00,17.00,35.00,0.00,23.00
2301-205730,3863,Title and Escrow,276790.00,337000.00,-60210.00,2.00,71.00,1171.00,17.00,46.00,0.00,42.00
17-511344,3863,LCP - Title Only,35000.00,157900.00,-122900.00,1.00,34.00,584.00,4.00,10.00,0.00,21.00
2301-205731,3863,Title and Escrow,88404.00,156220.49,-67816.49,2.00,79.00,1217.00,26.00,33.00,0.00,40.00
2301-205733,3863,Title and Escrow,192410.00,0.00,192410.00,0.00,71.00,1078.00,15.00,34.00,0.00,36.00
